Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Rawang,Malaysia,Eastern Asia and South-Eastern Asia,41.1,UN-Habitat Urban Indicators Database,30
Proportion of population with access to public transport,Mocuba,Mozambique,Sub-Saharan Africa,41.13,UN-Habitat Urban Indicators Database,31
Proportion of population with access to public transport,"Dubai (UAE, Ajman, Ash Shariqa and Dubai were combined.)",UAE,Western Asia and Northern Africa ,41.21,UN-Habitat Urban Indicators Database,32
Proportion of population with access to public transport,Kayseri,Turkey,Western Asia and Northern Africa ,41.4,UN-Habitat Urban Indicators Database,33
Proportion of population with access to public transport,Medan,Indonesia,Eastern Asia and South-Eastern Asia,41.49,UN-Habitat Urban Indicators Database,34
Proportion of population with access to public transport,"Zhuji, Zhejiang",China,Eastern Asia and South-Eastern Asia,41.84,UN-Habitat Urban Indicators Database,35
Proportion of population with access to public transport,Nukus,Uzbekistan,Central Asia and Southern Asia,41.92,UN-Habitat Urban Indicators Database,36
Proportion of population with access to public transport,Pemalang,Indonesia,Eastern Asia and South-Eastern Asia,41.93,UN-Habitat Urban Indicators Database,37
Proportion of population with access to public transport,Samsun,Turkey,Western Asia and Northern Africa ,41.97,UN-Habitat Urban Indicators Database,38
Proportion of population with access to public transport,Babol,Iran,Central Asia and Southern Asia,42.44,UN-Habitat Urban Indicators Database,39
Proportion of population with access to public transport,"Tangshan, Hebei",China,Eastern Asia and South-Eastern Asia,42.62,UN-Habitat Urban Indicators Database,40
Proportion of population with access to public transport,Hambantota,Sri-Lanka,Central Asia and Southern Asia,42.84,UN-Habitat Urban Indicators Database,41
Proportion of population with access to public transport,Pavlodar,Kazakhstan,Central Asia and Southern Asia,42.85,UN-Habitat Urban Indicators Database,42
Proportion of population with access to public transport,Kobyrn ,Belarus ,Northern America and Europe,42.87,UN-Habitat Urban Indicators Database,43
Proportion of population with access to public transport,Eshfana ,Iran,Central Asia and Southern Asia,43.19,UN-Habitat Urban Indicators Database,44
Proportion of population with access to public transport,Khemis Miliana,Algeria,Western Asia and Northern Africa ,43.24,UN-Habitat Urban Indicators Database,45
Proportion of population with access to public transport,Tozeur,Tunisia,Western Asia and Northern Africa ,43.52,UN-Habitat Urban Indicators Database,46
Proportion of population with access to public transport,"Zhengzhou, Henan",China,Eastern Asia and South-Eastern Asia,43.73,UN-Habitat Urban Indicators Database,47
Proportion of population with access to public transport,Mazar-e Sharif,Afghanistan,Central Asia and Southern Asia,44.19,UN-Habitat Urban Indicators Database,48
Proportion of population with access to public transport,Caracas,Venezuela,Latin America and the Caribbean,44.45,UN-Habitat Urban Indicators Database,49
Proportion of population with access to public transport,Tarim,Yemen,Western Asia and Northern Africa ,44.55,UN-Habitat Urban Indicators Database,50
Proportion of population with access to public transport,Konya,Turkey,Western Asia and Northern Africa ,44.68,UN-Habitat Urban Indicators Database,51
Proportion of population with access to public transport,Rafa?,Palestinian territories ,Western Asia and Northern Africa ,23.82,UN-Habitat Urban Indicators Database,52
Proportion of population with access to public transport,Palembang,Indonesia,Eastern Asia and South-Eastern Asia,52.46,UN-Habitat Urban Indicators Database,53
Proportion of population with access to public transport,Al-Madinah,Saudi Arabia,Western Asia and Northern Africa ,4.38,UN-Habitat Urban Indicators Database,54
Proportion of population with access to public transport,Viransehir,Turkey,Western Asia and Northern Africa ,29.98,UN-Habitat Urban Indicators Database,55
Proportion of population with access to public transport,Al Shahaniya,Qatar,Western Asia and Northern Africa ,16.75,UN-Habitat Urban Indicators Database,56
Proportion of population with access to public transport,Dhaka,Bangladesh,Central Asia and Southern Asia,44.77,UN-Habitat Urban Indicators Database,57
Proportion of population with access to public transport,Palmas,Brazil,Latin America and the Caribbean,11.5,UN-Habitat Urban Indicators Database,58
Proportion of population with access to public transport,Jinja,Uganda,Sub-Saharan Africa,11.51,UN-Habitat Urban Indicators Database,59
Proportion of population with access to public transport,Layyah,Pakistan,Central Asia and Southern Asia,11.52,UN-Habitat Urban Indicators Database,60
Proportion of population with access to public transport,Mbale,Uganda,Sub-Saharan Africa,11.6,UN-Habitat Urban Indicators Database,61
Proportion of population with access to public transport,Andijan,Uzbekistan,Central Asia and Southern Asia,11.6,UN-Habitat Urban Indicators Database,62
Proportion of population with access to public transport,Ahvaz,Iran,Central Asia and Southern Asia,11.7,UN-Habitat Urban Indicators Database,63
Proportion of population with access to public transport,Ibadan,Nigeria,Sub-Saharan Africa,11.81,UN-Habitat Urban Indicators Database,64
Proportion of population with access to public transport,Reynosa,Mexico,Latin America and the Caribbean,12.35,UN-Habitat Urban Indicators Database,65
Proportion of population with access to public transport,Niamey,Niger,Sub-Saharan Africa,12.5,UN-Habitat Urban Indicators Database,66
Proportion of population with access to public transport,Gorgan,Iran,Central Asia and Southern Asia,12.77,UN-Habitat Urban Indicators Database,67
Proportion of population with access to public transport,Gisenyi,Rwanda,Sub-Saharan Africa,12.8,UN-Habitat Urban Indicators Database,68
Proportion of population with access to public transport,Sargodha,Pakistan,Central Asia and Southern Asia,12.86,UN-Habitat Urban Indicators Database,69
Proportion of population with access to public transport,A?-?a'if,Saudi Arabia,Western Asia and Northern Africa ,12.88,UN-Habitat Urban Indicators Database,70
Proportion of population with access to public transport,Nakuru,Kenya,Sub-Saharan Africa,12.89,UN-Habitat Urban Indicators Database,71
Proportion of population with access to public transport,"Yucheng, Zhejiang",China,Eastern Asia and South-Eastern Asia,12.9,UN-Habitat Urban Indicators Database,72
Proportion of population with access to public transport,Al_zaqaziq,Egypt,Western Asia and Northern Africa ,13.07,UN-Habitat Urban Indicators Database,73
Proportion of population with access to public transport,Kanggye ,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,13.16,UN-Habitat Urban Indicators Database,74
Proportion of population with access to public transport,Mardan,Pakistan,Central Asia and Southern Asia,13.35,UN-Habitat Urban Indicators Database,75
Proportion of population with access to public transport,Ranson ,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,13.36,UN-Habitat Urban Indicators Database,76
Proportion of population with access to public transport,Chongju,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,13.55,UN-Habitat Urban Indicators Database,77
Proportion of population with access to public transport,Suva,Fiji,Oceania excluding Australia and New Zealand,13.82,UN-Habitat Urban Indicators Database,78
Proportion of population with access to public transport,Pekalongan,Indonesia,Eastern Asia and South-Eastern Asia,13.9,UN-Habitat Urban Indicators Database,79
Proportion of population with access to public transport,Saidpur,Bangladesh,Central Asia and Southern Asia,13.9,UN-Habitat Urban Indicators Database,80
Proportion of population with access to public transport,Bacolod,Philippines,Eastern Asia and South-Eastern Asia,13.91,UN-Habitat Urban Indicators Database,81
Proportion of population with access to public transport,Chaam,Thailand,Eastern Asia and South-Eastern Asia,13.93,UN-Habitat Urban Indicators Database,82
Proportion of population with access to public transport,Jambi,Indonesia,Eastern Asia and South-Eastern Asia,14.23,UN-Habitat Urban Indicators Database,83
Proportion of population with access to public transport,Jombang,Indonesia,Eastern Asia and South-Eastern Asia,14.23,UN-Habitat Urban Indicators Database,84
Proportion of population with access to public transport,Valledupar,Colombia,Latin America and the Caribbean,14.36,UN-Habitat Urban Indicators Database,85
Proportion of population with access to public transport,ChiangRai,Thailand,Eastern Asia and South-Eastern Asia,14.46,UN-Habitat Urban Indicators Database,86
Proportion of population with access to public transport,Jhang,Pakistan,Central Asia and Southern Asia,14.53,UN-Habitat Urban Indicators Database,87
Proportion of population with access to public transport,Jalna,India,Central Asia and Southern Asia,14.6,UN-Habitat Urban Indicators Database,88
Proportion of population with access to public transport,Gulu,Uganda,Sub-Saharan Africa,14.74,UN-Habitat Urban Indicators Database,89
Proportion of population with access to public transport,Al_Qhurdaqah,Egypt,Western Asia and Northern Africa ,14.97,UN-Habitat Urban Indicators Database,90
Proportion of population with access to public transport,Bekobod,Uzbekistan,Central Asia and Southern Asia,15.06,UN-Habitat Urban Indicators Database,91
Proportion of population with access to public transport,Sana,Yemen,Western Asia and Northern Africa ,15.16,UN-Habitat Urban Indicators Database,92
Proportion of population with access to public transport,Eldoret,Kenya,Sub-Saharan Africa,15.17,UN-Habitat Urban Indicators Database,93
Proportion of population with access to public transport,Nabulus(Nablus),Palestinian territories ,Western Asia and Northern Africa ,15.17,UN-Habitat Urban Indicators Database,94
Proportion of population with access to public transport,Tebessa ,Algeria,Western Asia and Northern Africa ,15.32,UN-Habitat Urban Indicators Database,95
Proportion of population with access to public transport,Oujda,Morocco,Western Asia and Northern Africa ,15.35,UN-Habitat Urban Indicators Database,96
Proportion of population with access to public transport,Annaba,Algeria,Western Asia and Northern Africa ,15.38,UN-Habitat Urban Indicators Database,97
Proportion of population with access to public transport,Blantyre,Malawi,Sub-Saharan Africa,15.38,UN-Habitat Urban Indicators Database,98
Proportion of population with access to public transport,Khanpur,Pakistan,Central Asia and Southern Asia,15.39,UN-Habitat Urban Indicators Database,99
Proportion of population with access to public transport,Chongjin,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,15.57,UN-Habitat Urban Indicators Database,100
Proportion of population with access to public transport,Loikaw,Myanmar,Eastern Asia and South-Eastern Asia,15.75,UN-Habitat Urban Indicators Database,101
Proportion of population with access to public transport,Touba,Senegal,Sub-Saharan Africa,15.91,UN-Habitat Urban Indicators Database,102
Proportion of population with access to public transport,Kanpur,India,Central Asia and Southern Asia,16.06,UN-Habitat Urban Indicators Database,103
Proportion of population with access to public transport,Banzart,Tunisia,Western Asia and Northern Africa ,16.06,UN-Habitat Urban Indicators Database,104
Proportion of population with access to public transport,Tabuk,Saudi Arabia,Western Asia and Northern Africa ,16.15,UN-Habitat Urban Indicators Database,105
Proportion of population with access to public transport,Maradi,Niger,Sub-Saharan Africa,16.3,UN-Habitat Urban Indicators Database,106
Proportion of population with access to public transport,Mbarara,Uganda,Sub-Saharan Africa,16.56,UN-Habitat Urban Indicators Database,107
Proportion of population with access to public transport,Oran,Algeria,Western Asia and Northern Africa ,45,UN-Habitat Urban Indicators Database,108
Proportion of population with access to public transport,Mesaieed,Qatar,Western Asia and Northern Africa ,16.82,UN-Habitat Urban Indicators Database,109
Proportion of population with access to public transport,Falticeni,Romania,Northern America and Europe,30.16,UN-Habitat Urban Indicators Database,110
Proportion of population with access to public transport,Bur Sudan,Sudan,Western Asia and Northern Africa ,4.49,UN-Habitat Urban Indicators Database,111
Proportion of population with access to public transport,Accra,Ghana,Sub-Saharan Africa,52.46,UN-Habitat Urban Indicators Database,112
Proportion of population with access to public transport,Nyeri,Kenya,Sub-Saharan Africa,23.91,UN-Habitat Urban Indicators Database,113
Proportion of population with access to public transport,Shikarpur,Pakistan,Central Asia and Southern Asia,24.09,UN-Habitat Urban Indicators Database,114
Proportion of population with access to public transport,"Chengguan, Guizhou",China,Eastern Asia and South-Eastern Asia,24.11,UN-Habitat Urban Indicators Database,115
Proportion of population with access to public transport,Taraz,Kazakhstan,Central Asia and Southern Asia,24.12,UN-Habitat Urban Indicators Database,116
Proportion of population with access to public transport,Nyanza,Rwanda,Sub-Saharan Africa,24.16,UN-Habitat Urban Indicators Database,117
Proportion of population with access to public transport,"Chilaw, Ferry Street",Sri-Lanka,Central Asia and Southern Asia,24.19,UN-Habitat Urban Indicators Database,118
Proportion of population with access to public transport,Guatemala City,Guatemala,Latin America and the Caribbean,24.25,UN-Habitat Urban Indicators Database,119
Proportion of population with access to public transport,Singrauli,India,Central Asia and Southern Asia,24.34,UN-Habitat Urban Indicators Database,120
Proportion of population with access to public transport,Sidon,Lebanon,Western Asia and Northern Africa ,24.41,UN-Habitat Urban Indicators Database,121
Proportion of population with access to public transport,Dire Dawa,Ethiopia,Sub-Saharan Africa,24.47,UN-Habitat Urban Indicators Database,122
Proportion of population with access to public transport,Djougou,Benin,Sub-Saharan Africa,24.5,UN-Habitat Urban Indicators Database,123
Proportion of population with access to public transport,Adan,Yemen,Western Asia and Northern Africa ,24.51,UN-Habitat Urban Indicators Database,124
Proportion of population with access to public transport,Parbhani,India,Central Asia and Southern Asia,24.85,UN-Habitat Urban Indicators Database,125
Proportion of population with access to public transport,Faisalabad,Pakistan,Central Asia and Southern Asia,24.88,UN-Habitat Urban Indicators Database,126
Proportion of population with access to public transport,Okayama,Japan,Eastern Asia and South-Eastern Asia,24.98,UN-Habitat Urban Indicators Database,127
Proportion of population with access to public transport,Djelfa,Algeria,Western Asia and Northern Africa ,25.06,UN-Habitat Urban Indicators Database,128
Proportion of population with access to public transport,Embilipitiya,Sri-Lanka,Central Asia and Southern Asia,25.12,UN-Habitat Urban Indicators Database,129
Proportion of population with access to public transport,Natitingou,Benin,Sub-Saharan Africa,25.19,UN-Habitat Urban Indicators Database,130
Proportion of population with access to public transport,Bangkok,Thailand,Eastern Asia and South-Eastern Asia,26.05,UN-Habitat Urban Indicators Database,131
Proportion of population with access to public transport,Adama Nazreth,Ethiopia,Sub-Saharan Africa,26.12,UN-Habitat Urban Indicators Database,132
Proportion of population with access to public transport,Hindupur,India,Central Asia and Southern Asia,26.13,UN-Habitat Urban Indicators Database,133
Proportion of population with access to public transport,Nacala Porto,Mozambique,Sub-Saharan Africa,26.26,UN-Habitat Urban Indicators Database,134
Proportion of population with access to public transport,Hamhung ,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,26.37,UN-Habitat Urban Indicators Database,135
Proportion of population with access to public transport,Puntar Arenas_Barranca,Costa Rica,Latin America and the Caribbean,26.42,UN-Habitat Urban Indicators Database,136
Proportion of population with access to public transport,Harar,Ethiopia,Sub-Saharan Africa,26.52,UN-Habitat Urban Indicators Database,137
Proportion of population with access to public transport,Batticaloa,Sri-Lanka,Central Asia and Southern Asia,26.61,UN-Habitat Urban Indicators Database,138
Proportion of population with access to public transport,Chlef,Algeria,Western Asia and Northern Africa ,26.64,UN-Habitat Urban Indicators Database,139
Proportion of population with access to public transport,Mangalia,Romania,Northern America and Europe,26.69,UN-Habitat Urban Indicators Database,140
Proportion of population with access to public transport,Paysandu,Uruguay,Latin America and the Caribbean,26.76,UN-Habitat Urban Indicators Database,141
Proportion of population with access to public transport,Kayonza,Rwanda,Sub-Saharan Africa,26.93,UN-Habitat Urban Indicators Database,142
Proportion of population with access to public transport,Khon Kaen,Thailand,Eastern Asia and South-Eastern Asia,27.17,UN-Habitat Urban Indicators Database,143
Proportion of population with access to public transport,Cochabamba,Bolivia,Latin America and the Caribbean,27.21,UN-Habitat Urban Indicators Database,144
Proportion of population with access to public transport,Kendari,Indonesia,Eastern Asia and South-Eastern Asia,27.25,UN-Habitat Urban Indicators Database,145
Proportion of population with access to public transport,Abu Dhabi,UAE,Western Asia and Northern Africa ,27.3,UN-Habitat Urban Indicators Database,146
Proportion of population with access to public transport,Jaffna,Sri-Lanka,Central Asia and Southern Asia,27.39,UN-Habitat Urban Indicators Database,147
Proportion of population with access to public transport,Tachiliek,Myanmar,Eastern Asia and South-Eastern Asia,27.53,UN-Habitat Urban Indicators Database,148
Proportion of population with access to public transport,Kisumu,Kenya,Sub-Saharan Africa,27.63,UN-Habitat Urban Indicators Database,149
Proportion of population with access to public transport,Port Said,Egypt,Western Asia and Northern Africa ,27.78,UN-Habitat Urban Indicators Database,150
Proportion of population with access to public transport,Killeen,United States,Northern America and Europe,28,UN-Habitat Urban Indicators Database,151
Proportion of population with access to public transport,Gitarama,Rwanda,Sub-Saharan Africa,28.85,UN-Habitat Urban Indicators Database,152
Proportion of population with access to public transport,Butare,Rwanda,Sub-Saharan Africa,28.89,UN-Habitat Urban Indicators Database,153
Proportion of population with access to public transport,Kandy,Benin,Sub-Saharan Africa,28.94,UN-Habitat Urban Indicators Database,154
Proportion of population with access to public transport,Kh?n Y?nis (includes Dayr al Balah ),Palestinian territories ,Western Asia and Northern Africa ,28.97,UN-Habitat Urban Indicators Database,155
Proportion of population with access to public transport,Jalalabad,Afghanistan,Central Asia and Southern Asia,29.06,UN-Habitat Urban Indicators Database,156
Proportion of population with access to public transport,Gondar,Ethiopia,Sub-Saharan Africa,29.18,UN-Habitat Urban Indicators Database,157
Proportion of population with access to public transport,Pol-e Khomri,Afghanistan,Central Asia and Southern Asia,29.55,UN-Habitat Urban Indicators Database,158
Proportion of population with access to public transport,BandaAceh,Indonesia,Eastern Asia and South-Eastern Asia,29.74,UN-Habitat Urban Indicators Database,159
Proportion of population with access to public transport,Sefrou,Morocco,Western Asia and Northern Africa ,29.98,UN-Habitat Urban Indicators Database,160
Proportion of population with access to public transport,Santa Clara,Cuba,Latin America and the Caribbean,52.65,UN-Habitat Urban Indicators Database,161
Proportion of population with access to public transport,Songnim ,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,4.52,UN-Habitat Urban Indicators Database,162
Proportion of population with access to public transport,Qabis,Tunisia,Western Asia and Northern Africa ,30.22,UN-Habitat Urban Indicators Database,163
Proportion of population with access to public transport,Al_Manshah,Egypt,Western Asia and Northern Africa ,17.04,UN-Habitat Urban Indicators Database,164
Proportion of population with access to public transport,Agri,Turkey,Western Asia and Northern Africa ,45.04,UN-Habitat Urban Indicators Database,165
Proportion of population with access to public transport,Batna,Algeria,Western Asia and Northern Africa ,45.08,UN-Habitat Urban Indicators Database,166
Proportion of population with access to public transport,Tolga,Algeria,Western Asia and Northern Africa ,45.29,UN-Habitat Urban Indicators Database,167
Proportion of population with access to public transport,makassar,Indonesia,Eastern Asia and South-Eastern Asia,45.3,UN-Habitat Urban Indicators Database,168
Proportion of population with access to public transport,Perth,Australia,Australia and New Zealand,45.45,UN-Habitat Urban Indicators Database,169
Proportion of population with access to public transport,Susah,Tunisia,Western Asia and Northern Africa ,45.58,UN-Habitat Urban Indicators Database,170
Proportion of population with access to public transport,Kozhikode,India,Central Asia and Southern Asia,45.75,UN-Habitat Urban Indicators Database,171
Proportion of population with access to public transport,Salto,Uruguay,Latin America and the Caribbean,45.89,UN-Habitat Urban Indicators Database,172
Proportion of population with access to public transport,Pemba,Mozambique,Sub-Saharan Africa,45.97,UN-Habitat Urban Indicators Database,173
Proportion of population with access to public transport,BahirDar,Ethiopia,Sub-Saharan Africa,46.18,UN-Habitat Urban Indicators Database,174
Proportion of population with access to public transport,Mahajanga,Madagascar,Sub-Saharan Africa,46.54,UN-Habitat Urban Indicators Database,175
Proportion of population with access to public transport,"Xingping, Shaanxi",China,Eastern Asia and South-Eastern Asia,46.7,UN-Habitat Urban Indicators Database,176
Proportion of population with access to public transport,Purwakarta,Indonesia,Eastern Asia and South-Eastern Asia,46.91,UN-Habitat Urban Indicators Database,177
Proportion of population with access to public transport,Ulaanbaatar,Mongolia,Eastern Asia and South-Eastern Asia,47.3,UN-Habitat Urban Indicators Database,178
Proportion of population with access to public transport,Bandung,Indonesia,Eastern Asia and South-Eastern Asia,47.35,UN-Habitat Urban Indicators Database,179
Proportion of population with access to public transport,"Beijing, Beijing",China,Eastern Asia and South-Eastern Asia,47.36,UN-Habitat Urban Indicators Database,180
Proportion of population with access to public transport,Oss,Netherlands,Northern America and Europe,47.45, European Commission DG REGIO,181
Proportion of population with access to public transport,Çerkezköy,Turkey,Western Asia and Northern Africa ,47.8,UN-Habitat Urban Indicators Database,182
Proportion of population with access to public transport,Jaipur,India,Central Asia and Southern Asia,47.92,UN-Habitat Urban Indicators Database,183
Proportion of population with access to public transport,Algiers,Algeria,Western Asia and Northern Africa ,47.99,UN-Habitat Urban Indicators Database,184
Proportion of population with access to public transport,Camaguey,Cuba,Latin America and the Caribbean,48.05,UN-Habitat Urban Indicators Database,185
Proportion of population with access to public transport,Cebu City,Philippines,Eastern Asia and South-Eastern Asia,48.08,UN-Habitat Urban Indicators Database,186
Proportion of population with access to public transport,Malegaon,India,Central Asia and Southern Asia,48.21,UN-Habitat Urban Indicators Database,187
Proportion of population with access to public transport,Cienfuego,Cuba,Latin America and the Caribbean,48.22,UN-Habitat Urban Indicators Database,188
Proportion of population with access to public transport,Bengkulu ,Indonesia,Eastern Asia and South-Eastern Asia,48.28,UN-Habitat Urban Indicators Database,189
Proportion of population with access to public transport,Antsiranana,Madagascar,Sub-Saharan Africa,48.34,UN-Habitat Urban Indicators Database,190
Proportion of population with access to public transport,Tunis (includes At-Tadamun and Sukrah),Tunisia,Western Asia and Northern Africa ,48.49,UN-Habitat Urban Indicators Database,191
Proportion of population with access to public transport,Anuradhapura,Sri-Lanka,Central Asia and Southern Asia,48.5,UN-Habitat Urban Indicators Database,192
Proportion of population with access to public transport,Kampala,Uganda,Sub-Saharan Africa,48.66,UN-Habitat Urban Indicators Database,193
Proportion of population with access to public transport,San Salvador,El Salvador,Latin America and the Caribbean,48.95,UN-Habitat Urban Indicators Database,194
Proportion of population with access to public transport,Zahle,Lebanon,Western Asia and Northern Africa ,49,UN-Habitat Urban Indicators Database,195
Proportion of population with access to public transport,Manhica,Mozambique,Sub-Saharan Africa,49.45,UN-Habitat Urban Indicators Database,196
Proportion of population with access to public transport,Belgaum,India,Central Asia and Southern Asia,50.3,UN-Habitat Urban Indicators Database,197
Proportion of population with access to public transport,Kigali,Rwanda,Sub-Saharan Africa,50.33,UN-Habitat Urban Indicators Database,198
Proportion of population with access to public transport,"Xucheng, Jiangsu",China,Eastern Asia and South-Eastern Asia,50.73,UN-Habitat Urban Indicators Database,199
Proportion of population with access to public transport,Salmas ,Iran,Central Asia and Southern Asia,50.75,UN-Habitat Urban Indicators Database,200
Proportion of population with access to public transport,Raf?a',Saudi Arabia,Western Asia and Northern Africa ,50.84,UN-Habitat Urban Indicators Database,201
Proportion of population with access to public transport,M'Sila,Algeria,Western Asia and Northern Africa ,50.92,UN-Habitat Urban Indicators Database,202
Proportion of population with access to public transport,Cartago,Costa Rica,Latin America and the Caribbean,51.1,UN-Habitat Urban Indicators Database,203
Proportion of population with access to public transport,"Changzhi, Hunan",China,Eastern Asia and South-Eastern Asia,51.47,UN-Habitat Urban Indicators Database,204
Proportion of population with access to public transport,Tacuarembo ,Uruguay,Latin America and the Caribbean,51.65,UN-Habitat Urban Indicators Database,205
Proportion of population with access to public transport,Mielec,Poland,Northern America and Europe,51.69,UN-Habitat Urban Indicators Database,206
Proportion of population with access to public transport,Las Tunas,Cuba,Latin America and the Caribbean,51.7,UN-Habitat Urban Indicators Database,207
Proportion of population with access to public transport,Malaba,Kenya,Sub-Saharan Africa,52.01,UN-Habitat Urban Indicators Database,208
Proportion of population with access to public transport,Fikh Ben Salah,Morocco,Western Asia and Northern Africa ,52.1,UN-Habitat Urban Indicators Database,209
Proportion of population with access to public transport,Maputo,Mozambique,Sub-Saharan Africa,52.18,UN-Habitat Urban Indicators Database,210
Proportion of population with access to public transport,Mandalay,Myanmar,Eastern Asia and South-Eastern Asia,52.37,UN-Habitat Urban Indicators Database,211
Proportion of population with access to public transport,Mila,Algeria,Western Asia and Northern Africa ,52.41,UN-Habitat Urban Indicators Database,212
Proportion of population with access to public transport,Safaqia,Tunisia,Western Asia and Northern Africa ,17.19,UN-Habitat Urban Indicators Database,213
Proportion of population with access to public transport,Al Hudaydah,Yemen,Western Asia and Northern Africa ,30.34,UN-Habitat Urban Indicators Database,214
Proportion of population with access to public transport,Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,4.56,UN-Habitat Urban Indicators Database,215
Proportion of population with access to public transport,Al-Quds,Palestinian territories ,Western Asia and Northern Africa ,52.79,UN-Habitat Urban Indicators Database,216
Proportion of population with access to public transport,Fianarantsoa,Madagascar,Sub-Saharan Africa,52.8,UN-Habitat Urban Indicators Database,217
Proportion of population with access to public transport,Sohar,Oman,Western Asia and Northern Africa ,52.86,UN-Habitat Urban Indicators Database,218
Proportion of population with access to public transport,Sanandaj ,Iran,Central Asia and Southern Asia,53.11,UN-Habitat Urban Indicators Database,219
Proportion of population with access to public transport,Tehran,Iran,Central Asia and Southern Asia,53.3,UN-Habitat Urban Indicators Database,220
Proportion of population with access to public transport,Sanliurfa,Turkey,Western Asia and Northern Africa ,53.36,UN-Habitat Urban Indicators Database,221
